rent,value,tax,hoa,mgt_fee,noi,yield
"2,000.00","242,500.00","4,705.00","2,250.00","1,920","15,125.00",6.24
"2,300.00","494,300.00","4,668.00","1,440.00","2,208","19,284.00",3.90
"2,400.00","403,400.00","8,100.00","2,000.00","2,304","16,396.00",4.06
"2,600.00","377,800.00","7,610.00","2,800.00","2,496","18,294.00",4.84
"2,850.00","411,200.00","10,027.00","2,200.00","2,736","19,237.00",4.68
"3,400.00","474,000.00","7,286.00","1,200.00","3,264","29,050.00",6.13
"3,500.00","427,200.00","6,296.00","1,400.00","3,360","30,944.00",7.24
"2,432.00","304,000.00","4,877.00","11,128.00","2,335","10,844.28",3.57
"2,044.00","255,500.00","2,548.00","2,400.00","1,962","17,617.76",6.90
"2,360.00","295,000.00","3,094.00","2,600.00","2,266","20,360.40",6.90
"2,200.00","275,000.00","4,663.00","1,800.00","2,112","17,825.00",6.48
"2,300.00","299,900.00","4,385.00","2,280.00","2,208","18,727.00",6.24
"2,500.00","344,900.00","6,254.00","1,260.00","2,400","20,086.00",5.82
"2,300.00","324,900.00","5,536.00","1,680.00","2,208","18,176.00",5.59
"2,300.00","317,900.00","5,212.00","2,280.00","2,208","17,900.00",5.63
"2,000.00","314,400.00","5,193.00","1,560.00","1,920","15,327.00",4.88
"2,000.00","279,800.00","5,608.00",900.00,"1,920","15,572.00",5.57
"2,400.00","340,000.00","6,085.00","1,200.00","2,304","19,211.00",5.65
"3,200.00","475,000.00","6,520.00",888.00,"3,072","27,920.00",5.88
"2,300.00","350,000.00","5,109.00","1,020.00","2,208","19,263.00",5.50
"2,000.00","225,000.00","3,340.00","2,760.00","1,920","15,980.00",7.10
,,,,,,
,,,,,, 
,,,,,, 
